"Transaction Date/Time","Transaction Type","Operator","Location / Route","Description","Amount"
"03/03/2015  5:30:44 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"03/03/2015  8:36:54 AM","Transfer","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/03/2015  8:20:45 AM","Use","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/02/2015  8:48:22 PM","Transfer","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/02/2015  8:29:06 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"03/02/2015  5:36:39 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"03/02/2015  8:13:33 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/01/2015  8:28:13 PM","Use","CTA Bus","49 Western","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  10:34:25 PM","Use","CTA Rail","Blue-Rosemont","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  7:15:16 PM","Transfer","CTA Rail","Blue-Belmont_O'Hare","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  7:02:53 PM","Use","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  5:39:46 PM","Transfer","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  5:00:21 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  8:23:17 AM","Transfer","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"02/27/2015  8:10:31 AM","Use","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"02/26/2015  6:21:27 PM","Sale","CTA","CTA Back Office","CTA/Pace 30-Day Pass","$100.00"
"02/26/2015  6:06:59 PM","Transfer","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
